norm_type,learning_rate,kernel_num,init_type,epoch,avg_loss,epoch_time,total_time,converged,convergence_epoch,accuracy
0,0.010000,4,1,1,1.147879,1.276313,125.550258,1,42,0.870000
0,0.010000,4,1,2,0.681559,1.224618,125.550258,1,42,0.870000
0,0.010000,4,1,3,0.415775,1.180695,125.550258,1,42,0.870000
0,0.010000,4,1,4,0.414619,1.214325,125.550258,1,42,0.870000
0,0.010000,4,1,5,0.302792,1.210483,125.550258,1,42,0.870000
0,0.010000,4,1,6,0.294193,1.175734,125.550258,1,42,0.870000
0,0.010000,4,1,7,0.319660,1.153521,125.550258,1,42,0.870000
0,0.010000,4,1,8,0.286634,1.164991,125.550258,1,42,0.870000
0,0.010000,4,1,9,0.204003,1.149846,125.550258,1,42,0.870000
0,0.010000,4,1,10,0.251159,1.210121,125.550258,1,42,0.870000
0,0.010000,4,1,11,0.167260,1.211985,125.550258,1,42,0.870000
0,0.010000,4,1,12,0.176755,1.163512,125.550258,1,42,0.870000
0,0.010000,4,1,13,0.139627,1.210090,125.550258,1,42,0.870000
0,0.010000,4,1,14,0.131832,1.155301,125.550258,1,42,0.870000
0,0.010000,4,1,15,0.321935,1.154900,125.550258,1,42,0.870000
0,0.010000,4,1,16,0.178616,1.182176,125.550258,1,42,0.870000
0,0.010000,4,1,17,0.180306,1.144303,125.550258,1,42,0.870000
0,0.010000,4,1,18,0.097946,1.236932,125.550258,1,42,0.870000
0,0.010000,4,1,19,0.058594,1.153933,125.550258,1,42,0.870000
0,0.010000,4,1,20,0.099101,1.168915,125.550258,1,42,0.870000
0,0.010000,4,1,21,0.082034,1.184828,125.550258,1,42,0.870000
0,0.010000,4,1,22,0.084003,1.175901,125.550258,1,42,0.870000
0,0.010000,4,1,23,0.081540,1.166359,125.550258,1,42,0.870000
0,0.010000,4,1,24,0.045379,1.320383,125.550258,1,42,0.870000
0,0.010000,4,1,25,0.074702,1.190139,125.550258,1,42,0.870000
0,0.010000,4,1,26,0.066646,1.380636,125.550258,1,42,0.870000
0,0.010000,4,1,27,0.033033,1.237624,125.550258,1,42,0.870000
0,0.010000,4,1,28,0.080937,1.200443,125.550258,1,42,0.870000
0,0.010000,4,1,29,0.149688,1.174938,125.550258,1,42,0.870000
0,0.010000,4,1,30,0.076555,1.225796,125.550258,1,42,0.870000
0,0.010000,4,1,31,0.091838,1.322369,125.550258,1,42,0.870000
0,0.010000,4,1,32,0.081210,1.326023,125.550258,1,42,0.870000
0,0.010000,4,1,33,0.118769,1.478855,125.550258,1,42,0.870000
0,0.010000,4,1,34,0.092712,1.487906,125.550258,1,42,0.870000
0,0.010000,4,1,35,0.080225,1.713841,125.550258,1,42,0.870000
0,0.010000,4,1,36,0.055875,1.260017,125.550258,1,42,0.870000
0,0.010000,4,1,37,0.057869,1.319737,125.550258,1,42,0.870000
0,0.010000,4,1,38,0.036163,1.319775,125.550258,1,42,0.870000
0,0.010000,4,1,39,0.067991,1.280542,125.550258,1,42,0.870000
0,0.010000,4,1,40,0.054800,1.294557,125.550258,1,42,0.870000
0,0.010000,4,1,41,0.033180,1.552703,125.550258,1,42,0.870000
0,0.010000,4,1,42,0.007892,1.323651,125.550258,1,42,0.870000
0,0.010000,4,1,43,0.016883,1.306920,125.550258,1,42,0.870000
0,0.010000,4,1,44,0.087510,1.355700,125.550258,1,42,0.870000
0,0.010000,4,1,45,0.006540,1.298485,125.550258,1,42,0.870000
0,0.010000,4,1,46,0.000375,1.366265,125.550258,1,42,0.870000
0,0.010000,4,1,47,0.000179,1.351217,125.550258,1,42,0.870000
0,0.010000,4,1,48,0.000139,1.480314,125.550258,1,42,0.870000
0,0.010000,4,1,49,0.000117,1.397309,125.550258,1,42,0.870000
0,0.010000,4,1,50,0.000103,1.376792,125.550258,1,42,0.870000
0,0.010000,4,1,51,0.000092,1.314492,125.550258,1,42,0.870000
0,0.010000,4,1,52,0.000084,1.309308,125.550258,1,42,0.870000
0,0.010000,4,1,53,0.000078,1.398372,125.550258,1,42,0.870000
0,0.010000,4,1,54,0.000072,1.446647,125.550258,1,42,0.870000
0,0.010000,4,1,55,0.000068,1.337605,125.550258,1,42,0.870000
0,0.010000,4,1,56,0.000064,1.328362,125.550258,1,42,0.870000
0,0.010000,4,1,57,0.000061,1.326050,125.550258,1,42,0.870000
0,0.010000,4,1,58,0.000058,1.308693,125.550258,1,42,0.870000
0,0.010000,4,1,59,0.000055,1.452711,125.550258,1,42,0.870000
0,0.010000,4,1,60,0.000053,1.227731,125.550258,1,42,0.870000
0,0.010000,4,1,61,0.000050,1.231985,125.550258,1,42,0.870000
0,0.010000,4,1,62,0.000048,1.320745,125.550258,1,42,0.870000
0,0.010000,4,1,63,0.000046,1.172604,125.550258,1,42,0.870000
0,0.010000,4,1,64,0.000045,1.224535,125.550258,1,42,0.870000
0,0.010000,4,1,65,0.000043,1.230748,125.550258,1,42,0.870000
0,0.010000,4,1,66,0.000042,1.466820,125.550258,1,42,0.870000
0,0.010000,4,1,67,0.000040,1.400049,125.550258,1,42,0.870000
0,0.010000,4,1,68,0.000039,1.285645,125.550258,1,42,0.870000
0,0.010000,4,1,69,0.000038,1.410201,125.550258,1,42,0.870000
0,0.010000,4,1,70,0.000037,1.208744,125.550258,1,42,0.870000
0,0.010000,4,1,71,0.000036,1.166315,125.550258,1,42,0.870000
0,0.010000,4,1,72,0.000035,1.156627,125.550258,1,42,0.870000
0,0.010000,4,1,73,0.000034,1.134268,125.550258,1,42,0.870000
0,0.010000,4,1,74,0.000033,1.188443,125.550258,1,42,0.870000
0,0.010000,4,1,75,0.000032,1.203591,125.550258,1,42,0.870000
0,0.010000,4,1,76,0.000031,1.182936,125.550258,1,42,0.870000
0,0.010000,4,1,77,0.000031,1.172707,125.550258,1,42,0.870000
0,0.010000,4,1,78,0.000030,1.213494,125.550258,1,42,0.870000
0,0.010000,4,1,79,0.000029,1.177124,125.550258,1,42,0.870000
0,0.010000,4,1,80,0.000029,1.147181,125.550258,1,42,0.870000
0,0.010000,4,1,81,0.000028,1.215612,125.550258,1,42,0.870000
0,0.010000,4,1,82,0.000028,1.125929,125.550258,1,42,0.870000
0,0.010000,4,1,83,0.000027,1.212171,125.550258,1,42,0.870000
0,0.010000,4,1,84,0.000026,1.217735,125.550258,1,42,0.870000
0,0.010000,4,1,85,0.000026,1.152049,125.550258,1,42,0.870000
0,0.010000,4,1,86,0.000026,1.159131,125.550258,1,42,0.870000
0,0.010000,4,1,87,0.000025,1.136935,125.550258,1,42,0.870000
0,0.010000,4,1,88,0.000025,1.175234,125.550258,1,42,0.870000
0,0.010000,4,1,89,0.000024,1.124338,125.550258,1,42,0.870000
0,0.010000,4,1,90,0.000024,1.102486,125.550258,1,42,0.870000
0,0.010000,4,1,91,0.000023,1.193474,125.550258,1,42,0.870000
0,0.010000,4,1,92,0.000023,1.193091,125.550258,1,42,0.870000
0,0.010000,4,1,93,0.000023,1.178769,125.550258,1,42,0.870000
0,0.010000,4,1,94,0.000022,1.136158,125.550258,1,42,0.870000
0,0.010000,4,1,95,0.000022,1.118434,125.550258,1,42,0.870000
0,0.010000,4,1,96,0.000022,1.159800,125.550258,1,42,0.870000
0,0.010000,4,1,97,0.000021,1.278956,125.550258,1,42,0.870000
0,0.010000,4,1,98,0.000021,1.185829,125.550258,1,42,0.870000
0,0.010000,4,1,99,0.000021,1.311084,125.550258,1,42,0.870000
0,0.010000,4,1,100,0.000020,1.299832,125.550258,1,42,0.870000
0,0.010000,8,1,1,0.857005,3.278338,331.921449,1,19,0.920000
0,0.010000,8,1,2,0.355931,3.210900,331.921449,1,19,0.920000
0,0.010000,8,1,3,0.268817,4.066132,331.921449,1,19,0.920000
0,0.010000,8,1,4,0.189820,3.732776,331.921449,1,19,0.920000
0,0.010000,8,1,5,0.227208,3.234355,331.921449,1,19,0.920000
0,0.010000,8,1,6,0.179900,3.082409,331.921449,1,19,0.920000
0,0.010000,8,1,7,0.126819,3.330379,331.921449,1,19,0.920000
0,0.010000,8,1,8,0.065783,3.003242,331.921449,1,19,0.920000
0,0.010000,8,1,9,0.095198,3.162240,331.921449,1,19,0.920000
0,0.010000,8,1,10,0.199109,3.132320,331.921449,1,19,0.920000
0,0.010000,8,1,11,0.167915,2.967118,331.921449,1,19,0.920000
0,0.010000,8,1,12,0.130958,3.152259,331.921449,1,19,0.920000
0,0.010000,8,1,13,0.212759,2.999555,331.921449,1,19,0.920000
0,0.010000,8,1,14,0.059045,2.918157,331.921449,1,19,0.920000
0,0.010000,8,1,15,0.092379,2.941899,331.921449,1,19,0.920000
0,0.010000,8,1,16,0.053169,2.873374,331.921449,1,19,0.920000
0,0.010000,8,1,17,0.092215,2.930391,331.921449,1,19,0.920000
0,0.010000,8,1,18,0.027317,2.895341,331.921449,1,19,0.920000
0,0.010000,8,1,19,0.002502,2.958489,331.921449,1,19,0.920000
0,0.010000,8,1,20,0.000439,2.989977,331.921449,1,19,0.920000
0,0.010000,8,1,21,0.000123,2.976895,331.921449,1,19,0.920000
0,0.010000,8,1,22,0.000095,2.851812,331.921449,1,19,0.920000
0,0.010000,8,1,23,0.000082,2.950873,331.921449,1,19,0.920000
0,0.010000,8,1,24,0.000073,3.255820,331.921449,1,19,0.920000
0,0.010000,8,1,25,0.000067,3.264248,331.921449,1,19,0.920000
0,0.010000,8,1,26,0.000062,3.185402,331.921449,1,19,0.920000
0,0.010000,8,1,27,0.000058,4.628071,331.921449,1,19,0.920000
0,0.010000,8,1,28,0.000054,4.269653,331.921449,1,19,0.920000
0,0.010000,8,1,29,0.000051,3.227176,331.921449,1,19,0.920000
0,0.010000,8,1,30,0.000049,3.025653,331.921449,1,19,0.920000
0,0.010000,8,1,31,0.000046,3.482206,331.921449,1,19,0.920000
0,0.010000,8,1,32,0.000044,3.200447,331.921449,1,19,0.920000
0,0.010000,8,1,33,0.000043,3.034049,331.921449,1,19,0.920000
0,0.010000,8,1,34,0.000041,3.137464,331.921449,1,19,0.920000
0,0.010000,8,1,35,0.000039,3.014403,331.921449,1,19,0.920000
0,0.010000,8,1,36,0.000038,2.938529,331.921449,1,19,0.920000
0,0.010000,8,1,37,0.000037,2.927370,331.921449,1,19,0.920000
0,0.010000,8,1,38,0.000036,2.925537,331.921449,1,19,0.920000
0,0.010000,8,1,39,0.000034,2.875742,331.921449,1,19,0.920000
0,0.010000,8,1,40,0.000033,2.975463,331.921449,1,19,0.920000
0,0.010000,8,1,41,0.000032,2.981032,331.921449,1,19,0.920000
0,0.010000,8,1,42,0.000032,2.930649,331.921449,1,19,0.920000
0,0.010000,8,1,43,0.000031,2.895275,331.921449,1,19,0.920000
0,0.010000,8,1,44,0.000030,2.905208,331.921449,1,19,0.920000
0,0.010000,8,1,45,0.000029,2.947783,331.921449,1,19,0.920000
0,0.010000,8,1,46,0.000028,2.952908,331.921449,1,19,0.920000
0,0.010000,8,1,47,0.000028,3.015470,331.921449,1,19,0.920000
0,0.010000,8,1,48,0.000027,3.208436,331.921449,1,19,0.920000
0,0.010000,8,1,49,0.000026,3.228426,331.921449,1,19,0.920000
0,0.010000,8,1,50,0.000026,3.932018,331.921449,1,19,0.920000
0,0.010000,8,1,51,0.000025,3.617958,331.921449,1,19,0.920000
0,0.010000,8,1,52,0.000025,3.479529,331.921449,1,19,0.920000
0,0.010000,8,1,53,0.000024,3.063503,331.921449,1,19,0.920000
0,0.010000,8,1,54,0.000024,3.217908,331.921449,1,19,0.920000
0,0.010000,8,1,55,0.000023,4.598776,331.921449,1,19,0.920000
0,0.010000,8,1,56,0.000023,3.345163,331.921449,1,19,0.920000
0,0.010000,8,1,57,0.000022,4.040165,331.921449,1,19,0.920000
0,0.010000,8,1,58,0.000022,4.092897,331.921449,1,19,0.920000
0,0.010000,8,1,59,0.000021,3.168056,331.921449,1,19,0.920000
0,0.010000,8,1,60,0.000021,3.199890,331.921449,1,19,0.920000
0,0.010000,8,1,61,0.000021,2.906869,331.921449,1,19,0.920000
0,0.010000,8,1,62,0.000020,2.893712,331.921449,1,19,0.920000
0,0.010000,8,1,63,0.000020,4.063076,331.921449,1,19,0.920000
0,0.010000,8,1,64,0.000020,5.233389,331.921449,1,19,0.920000
0,0.010000,8,1,65,0.000019,3.321766,331.921449,1,19,0.920000
0,0.010000,8,1,66,0.000019,3.362346,331.921449,1,19,0.920000
0,0.010000,8,1,67,0.000019,3.870850,331.921449,1,19,0.920000
0,0.010000,8,1,68,0.000018,4.202865,331.921449,1,19,0.920000
0,0.010000,8,1,69,0.000018,3.973625,331.921449,1,19,0.920000
0,0.010000,8,1,70,0.000018,3.877387,331.921449,1,19,0.920000
0,0.010000,8,1,71,0.000017,4.043457,331.921449,1,19,0.920000
0,0.010000,8,1,72,0.000017,4.367152,331.921449,1,19,0.920000
0,0.010000,8,1,73,0.000017,4.013298,331.921449,1,19,0.920000
0,0.010000,8,1,74,0.000017,3.071859,331.921449,1,19,0.920000
0,0.010000,8,1,75,0.000016,3.031096,331.921449,1,19,0.920000
0,0.010000,8,1,76,0.000016,3.131642,331.921449,1,19,0.920000
0,0.010000,8,1,77,0.000016,3.222974,331.921449,1,19,0.920000
0,0.010000,8,1,78,0.000016,6.722013,331.921449,1,19,0.920000
0,0.010000,8,1,79,0.000016,2.976641,331.921449,1,19,0.920000
0,0.010000,8,1,80,0.000015,2.918287,331.921449,1,19,0.920000
0,0.010000,8,1,81,0.000015,3.123600,331.921449,1,19,0.920000
0,0.010000,8,1,82,0.000015,2.875955,331.921449,1,19,0.920000
0,0.010000,8,1,83,0.000015,2.980546,331.921449,1,19,0.920000
0,0.010000,8,1,84,0.000015,2.857709,331.921449,1,19,0.920000
0,0.010000,8,1,85,0.000014,3.190562,331.921449,1,19,0.920000
0,0.010000,8,1,86,0.000014,2.921091,331.921449,1,19,0.920000
0,0.010000,8,1,87,0.000014,2.910610,331.921449,1,19,0.920000
0,0.010000,8,1,88,0.000014,2.864474,331.921449,1,19,0.920000
0,0.010000,8,1,89,0.000014,2.885696,331.921449,1,19,0.920000
0,0.010000,8,1,90,0.000014,2.875166,331.921449,1,19,0.920000
0,0.010000,8,1,91,0.000013,2.924300,331.921449,1,19,0.920000
0,0.010000,8,1,92,0.000013,2.955373,331.921449,1,19,0.920000
0,0.010000,8,1,93,0.000013,2.925294,331.921449,1,19,0.920000
0,0.010000,8,1,94,0.000013,3.262625,331.921449,1,19,0.920000
0,0.010000,8,1,95,0.000013,3.105964,331.921449,1,19,0.920000
0,0.010000,8,1,96,0.000013,3.284053,331.921449,1,19,0.920000
0,0.010000,8,1,97,0.000013,3.170478,331.921449,1,19,0.920000
0,0.010000,8,1,98,0.000012,4.079852,331.921449,1,19,0.920000
0,0.010000,8,1,99,0.000012,4.471152,331.921449,1,19,0.920000
0,0.010000,8,1,100,0.000012,3.090795,331.921449,1,19,0.920000
0,0.001000,4,1,1,1.034748,1.512288,148.211035,1,15,0.940000
0,0.001000,4,1,2,0.415151,1.907424,148.211035,1,15,0.940000
0,0.001000,4,1,3,0.292044,1.463033,148.211035,1,15,0.940000
0,0.001000,4,1,4,0.224548,1.430011,148.211035,1,15,0.940000
0,0.001000,4,1,5,0.189449,1.223109,148.211035,1,15,0.940000
0,0.001000,4,1,6,0.144805,1.331365,148.211035,1,15,0.940000
0,0.001000,4,1,7,0.123062,1.158585,148.211035,1,15,0.940000
0,0.001000,4,1,8,0.080269,1.129592,148.211035,1,15,0.940000
0,0.001000,4,1,9,0.048139,1.143502,148.211035,1,15,0.940000
0,0.001000,4,1,10,0.053902,1.185103,148.211035,1,15,0.940000
0,0.001000,4,1,11,0.066105,1.300587,148.211035,1,15,0.940000
0,0.001000,4,1,12,0.062427,1.250739,148.211035,1,15,0.940000
0,0.001000,4,1,13,0.023336,1.152390,148.211035,1,15,0.940000
0,0.001000,4,1,14,0.011113,1.121568,148.211035,1,15,0.940000
0,0.001000,4,1,15,0.008036,1.145477,148.211035,1,15,0.940000
0,0.001000,4,1,16,0.005754,1.130064,148.211035,1,15,0.940000
0,0.001000,4,1,17,0.005241,1.209211,148.211035,1,15,0.940000
0,0.001000,4,1,18,0.003824,1.205644,148.211035,1,15,0.940000
0,0.001000,4,1,19,0.003508,1.150917,148.211035,1,15,0.940000
0,0.001000,4,1,20,0.003041,1.135526,148.211035,1,15,0.940000
0,0.001000,4,1,21,0.003025,1.180055,148.211035,1,15,0.940000
0,0.001000,4,1,22,0.002724,1.181971,148.211035,1,15,0.940000
0,0.001000,4,1,23,0.002512,1.167852,148.211035,1,15,0.940000
0,0.001000,4,1,24,0.002304,1.167788,148.211035,1,15,0.940000
0,0.001000,4,1,25,0.002107,1.143397,148.211035,1,15,0.940000
0,0.001000,4,1,26,0.002090,1.248813,148.211035,1,15,0.940000
0,0.001000,4,1,27,0.001954,1.266668,148.211035,1,15,0.940000
0,0.001000,4,1,28,0.001827,1.427753,148.211035,1,15,0.940000
0,0.001000,4,1,29,0.001753,1.548068,148.211035,1,15,0.940000
0,0.001000,4,1,30,0.001636,1.437708,148.211035,1,15,0.940000
0,0.001000,4,1,31,0.001581,1.687398,148.211035,1,15,0.940000
0,0.001000,4,1,32,0.001516,1.492206,148.211035,1,15,0.940000
0,0.001000,4,1,33,0.001474,1.324394,148.211035,1,15,0.940000
0,0.001000,4,1,34,0.001411,1.551760,148.211035,1,15,0.940000
0,0.001000,4,1,35,0.001352,1.202879,148.211035,1,15,0.940000
0,0.001000,4,1,36,0.001309,1.210004,148.211035,1,15,0.940000
0,0.001000,4,1,37,0.001260,1.151789,148.211035,1,15,0.940000
0,0.001000,4,1,38,0.001221,1.233897,148.211035,1,15,0.940000
0,0.001000,4,1,39,0.001164,1.322588,148.211035,1,15,0.940000
0,0.001000,4,1,40,0.001147,1.216347,148.211035,1,15,0.940000
0,0.001000,4,1,41,0.001102,1.252117,148.211035,1,15,0.940000
0,0.001000,4,1,42,0.001064,1.719224,148.211035,1,15,0.940000
0,0.001000,4,1,43,0.001025,1.690845,148.211035,1,15,0.940000
0,0.001000,4,1,44,0.001000,1.354025,148.211035,1,15,0.940000
0,0.001000,4,1,45,0.000972,1.254424,148.211035,1,15,0.940000
0,0.001000,4,1,46,0.000936,1.239648,148.211035,1,15,0.940000
0,0.001000,4,1,47,0.000926,1.181149,148.211035,1,15,0.940000
0,0.001000,4,1,48,0.000901,1.231002,148.211035,1,15,0.940000
0,0.001000,4,1,49,0.000868,1.225820,148.211035,1,15,0.940000
0,0.001000,4,1,50,0.000863,1.231624,148.211035,1,15,0.940000
0,0.001000,4,1,51,0.000838,1.236331,148.211035,1,15,0.940000
0,0.001000,4,1,52,0.000815,1.193330,148.211035,1,15,0.940000
0,0.001000,4,1,53,0.000789,1.213428,148.211035,1,15,0.940000
0,0.001000,4,1,54,0.000773,1.248020,148.211035,1,15,0.940000
0,0.001000,4,1,55,0.000754,1.208267,148.211035,1,15,0.940000
0,0.001000,4,1,56,0.000742,1.181840,148.211035,1,15,0.940000
0,0.001000,4,1,57,0.000726,1.161732,148.211035,1,15,0.940000
0,0.001000,4,1,58,0.000714,1.158510,148.211035,1,15,0.940000
0,0.001000,4,1,59,0.000696,1.441781,148.211035,1,15,0.940000
0,0.001000,4,1,60,0.000684,1.499925,148.211035,1,15,0.940000
0,0.001000,4,1,61,0.000668,1.808477,148.211035,1,15,0.940000
0,0.001000,4,1,62,0.000650,1.460649,148.211035,1,15,0.940000
0,0.001000,4,1,63,0.000645,1.778766,148.211035,1,15,0.940000
0,0.001000,4,1,64,0.000630,2.644663,148.211035,1,15,0.940000
0,0.001000,4,1,65,0.000620,1.655502,148.211035,1,15,0.940000
0,0.001000,4,1,66,0.000601,1.800774,148.211035,1,15,0.940000
0,0.001000,4,1,67,0.000602,1.774255,148.211035,1,15,0.940000
0,0.001000,4,1,68,0.000591,1.681075,148.211035,1,15,0.940000
0,0.001000,4,1,69,0.000571,2.460070,148.211035,1,15,0.940000
0,0.001000,4,1,70,0.000571,1.918932,148.211035,1,15,0.940000
0,0.001000,4,1,71,0.000554,2.588732,148.211035,1,15,0.940000
0,0.001000,4,1,72,0.000546,2.848317,148.211035,1,15,0.940000
0,0.001000,4,1,73,0.000542,1.909809,148.211035,1,15,0.940000
0,0.001000,4,1,74,0.000530,2.079310,148.211035,1,15,0.940000
0,0.001000,4,1,75,0.000521,1.817315,148.211035,1,15,0.940000
0,0.001000,4,1,76,0.000511,2.580072,148.211035,1,15,0.940000
0,0.001000,4,1,77,0.000505,1.851249,148.211035,1,15,0.940000
0,0.001000,4,1,78,0.000497,1.841910,148.211035,1,15,0.940000
0,0.001000,4,1,79,0.000492,1.940853,148.211035,1,15,0.940000
0,0.001000,4,1,80,0.000479,1.997456,148.211035,1,15,0.940000
0,0.001000,4,1,81,0.000476,2.769428,148.211035,1,15,0.940000
0,0.001000,4,1,82,0.000467,1.915794,148.211035,1,15,0.940000
0,0.001000,4,1,83,0.000462,1.761613,148.211035,1,15,0.940000
0,0.001000,4,1,84,0.000453,2.392659,148.211035,1,15,0.940000
0,0.001000,4,1,85,0.000448,2.056562,148.211035,1,15,0.940000
0,0.001000,4,1,86,0.000440,1.687007,148.211035,1,15,0.940000
0,0.001000,4,1,87,0.000434,1.875208,148.211035,1,15,0.940000
0,0.001000,4,1,88,0.000430,1.802028,148.211035,1,15,0.940000
0,0.001000,4,1,89,0.000423,1.296018,148.211035,1,15,0.940000
0,0.001000,4,1,90,0.000418,1.128574,148.211035,1,15,0.940000
0,0.001000,4,1,91,0.000413,1.151953,148.211035,1,15,0.940000
0,0.001000,4,1,92,0.000406,1.152323,148.211035,1,15,0.940000
0,0.001000,4,1,93,0.000399,1.147651,148.211035,1,15,0.940000
0,0.001000,4,1,94,0.000396,1.154944,148.211035,1,15,0.940000
0,0.001000,4,1,95,0.000393,1.105796,148.211035,1,15,0.940000
0,0.001000,4,1,96,0.000387,1.187719,148.211035,1,15,0.940000
0,0.001000,4,1,97,0.000381,1.237802,148.211035,1,15,0.940000
0,0.001000,4,1,98,0.000376,1.138079,148.211035,1,15,0.940000
0,0.001000,4,1,99,0.000373,1.149127,148.211035,1,15,0.940000
0,0.001000,4,1,100,0.000369,1.142072,148.211035,1,15,0.940000
0,0.001000,8,1,1,0.957257,2.939547,339.371549,1,12,0.940000
0,0.001000,8,1,2,0.354132,2.931384,339.371549,1,12,0.940000
0,0.001000,8,1,3,0.219154,3.116856,339.371549,1,12,0.940000
0,0.001000,8,1,4,0.158557,3.057675,339.371549,1,12,0.940000
0,0.001000,8,1,5,0.149774,3.181816,339.371549,1,12,0.940000
0,0.001000,8,1,6,0.094434,3.506279,339.371549,1,12,0.940000
0,0.001000,8,1,7,0.051203,3.767382,339.371549,1,12,0.940000
0,0.001000,8,1,8,0.041071,4.163006,339.371549,1,12,0.940000
0,0.001000,8,1,9,0.022794,4.199987,339.371549,1,12,0.940000
0,0.001000,8,1,10,0.024420,3.594971,339.371549,1,12,0.940000
0,0.001000,8,1,11,0.013136,3.798666,339.371549,1,12,0.940000
0,0.001000,8,1,12,0.007273,4.924650,339.371549,1,12,0.940000
0,0.001000,8,1,13,0.005337,4.009487,339.371549,1,12,0.940000
0,0.001000,8,1,14,0.004456,3.581345,339.371549,1,12,0.940000
0,0.001000,8,1,15,0.004132,3.860470,339.371549,1,12,0.940000
0,0.001000,8,1,16,0.003612,3.927261,339.371549,1,12,0.940000
0,0.001000,8,1,17,0.003343,3.994518,339.371549,1,12,0.940000
0,0.001000,8,1,18,0.002936,3.110669,339.371549,1,12,0.940000
0,0.001000,8,1,19,0.002865,3.320683,339.371549,1,12,0.940000
0,0.001000,8,1,20,0.002578,3.493274,339.371549,1,12,0.940000
0,0.001000,8,1,21,0.002408,4.044937,339.371549,1,12,0.940000
0,0.001000,8,1,22,0.002267,3.698075,339.371549,1,12,0.940000
0,0.001000,8,1,23,0.002132,3.267828,339.371549,1,12,0.940000
0,0.001000,8,1,24,0.002019,3.299214,339.371549,1,12,0.940000
0,0.001000,8,1,25,0.001941,3.169826,339.371549,1,12,0.940000
0,0.001000,8,1,26,0.001796,3.301265,339.371549,1,12,0.940000
0,0.001000,8,1,27,0.001722,5.035077,339.371549,1,12,0.940000
0,0.001000,8,1,28,0.001604,4.002857,339.371549,1,12,0.940000
0,0.001000,8,1,29,0.001532,3.095648,339.371549,1,12,0.940000
0,0.001000,8,1,30,0.001466,3.270120,339.371549,1,12,0.940000
0,0.001000,8,1,31,0.001415,3.136685,339.371549,1,12,0.940000
0,0.001000,8,1,32,0.001333,3.023887,339.371549,1,12,0.940000
0,0.001000,8,1,33,0.001293,2.982090,339.371549,1,12,0.940000
0,0.001000,8,1,34,0.001234,2.926626,339.371549,1,12,0.940000
0,0.001000,8,1,35,0.001181,3.063646,339.371549,1,12,0.940000
0,0.001000,8,1,36,0.001154,3.111255,339.371549,1,12,0.940000
0,0.001000,8,1,37,0.001116,2.992223,339.371549,1,12,0.940000
0,0.001000,8,1,38,0.001075,3.570712,339.371549,1,12,0.940000
0,0.001000,8,1,39,0.001039,4.382073,339.371549,1,12,0.940000
0,0.001000,8,1,40,0.001010,3.524456,339.371549,1,12,0.940000
0,0.001000,8,1,41,0.000989,2.978596,339.371549,1,12,0.940000
0,0.001000,8,1,42,0.000955,3.115226,339.371549,1,12,0.940000
0,0.001000,8,1,43,0.000938,2.955164,339.371549,1,12,0.940000
0,0.001000,8,1,44,0.000900,3.080898,339.371549,1,12,0.940000
0,0.001000,8,1,45,0.000870,2.979847,339.371549,1,12,0.940000
0,0.001000,8,1,46,0.000857,3.016151,339.371549,1,12,0.940000
0,0.001000,8,1,47,0.000827,3.077507,339.371549,1,12,0.940000
0,0.001000,8,1,48,0.000806,5.073653,339.371549,1,12,0.940000
0,0.001000,8,1,49,0.000788,3.159067,339.371549,1,12,0.940000
0,0.001000,8,1,50,0.000768,3.707303,339.371549,1,12,0.940000
0,0.001000,8,1,51,0.000751,3.313712,339.371549,1,12,0.940000
0,0.001000,8,1,52,0.000730,3.062558,339.371549,1,12,0.940000
0,0.001000,8,1,53,0.000715,3.288512,339.371549,1,12,0.940000
0,0.001000,8,1,54,0.000699,3.475742,339.371549,1,12,0.940000
0,0.001000,8,1,55,0.000683,3.108131,339.371549,1,12,0.940000
0,0.001000,8,1,56,0.000666,3.411831,339.371549,1,12,0.940000
0,0.001000,8,1,57,0.000653,3.149754,339.371549,1,12,0.940000
0,0.001000,8,1,58,0.000641,3.094430,339.371549,1,12,0.940000
0,0.001000,8,1,59,0.000627,3.361795,339.371549,1,12,0.940000
0,0.001000,8,1,60,0.000616,3.467608,339.371549,1,12,0.940000
0,0.001000,8,1,61,0.000605,4.022625,339.371549,1,12,0.940000
0,0.001000,8,1,62,0.000590,3.614322,339.371549,1,12,0.940000
0,0.001000,8,1,63,0.000582,2.961412,339.371549,1,12,0.940000
0,0.001000,8,1,64,0.000565,2.929605,339.371549,1,12,0.940000
0,0.001000,8,1,65,0.000561,3.293936,339.371549,1,12,0.940000
0,0.001000,8,1,66,0.000550,2.944538,339.371549,1,12,0.940000
0,0.001000,8,1,67,0.000541,3.233307,339.371549,1,12,0.940000
